certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,66,"User Ratings: 446,686",42%,I Know What You Did Last Summer,40%
DNE,N/A,Ratings: Not yet available,,Seven Years in Tibet,
Rotten,51,"User Ratings: 422,470",39%,Anaconda,24%
Rotten,39,"User Ratings: 42,950",33%,The Devil's Own,40%
Rotten,43,"User Ratings: 158,799",56%,Conspiracy Theory,64%
Rotten,69,"User Ratings: 221,963",4%,Speed 2 - Cruise Control,16%
Fresh,51,"User Ratings: 230,416",67%,The Devil's Advocate,80%
Rotten,30,"User Ratings: 64,865",23%,The Jackal,52%
Rotten,80,"User Ratings: 263,292",55%,Alien Resurrection,39%
DNE,N/A,Ratings: Not yet available,,Contact,
Rotten,46,"User Ratings: 67,514",30%,The Saint,63%
Certified Fresh,77,"User Ratings: 412,498",82%,Scream 2,57%
Rotten,34,"User Ratings: 623,655",24%,Flubber,33%
Rotten,31,"User Ratings: 238,739",26%,Dante's Peak,38%
Rotten,65,"User Ratings: 417,239",55%,Con Air,75%
Certified Fresh,75,"User Ratings: 364,595",97%,Good Will Hunting,94%
DNE,N/A,Ratings: Not yet available,,Batman and Robin,
Certified Fresh,55,"User Ratings: 388,795",84%,Hercules,76%
Rotten,32,"User Ratings: 340,398",41%,Bean,53%
Certified Fresh,48,"User Ratings: 180,092",96%,The Full Monty,79%
Fresh,65,"User Ratings: 587,199",71%,The Fifth Element,87%
Certified Fresh,59,"User Ratings: 451,766",73%,My Best Friend's Wedding,73%
Certified Fresh,59,"User Ratings: 988,517",81%,Liar Liar,75%
Certified Fresh,79,"User Ratings: 378,637",85%,As Good as It Gets,86%
